Paper,Reference / DOI,MOF,MOF Family,Metal,Linker,Radiation Type,Particle Type,Source,Radiation Energy,Dose,Dose Rate,Irradiation Environment,XRD Crystallinity Retention*,FTIR Bond Loss?,XPS Used?,Raman Used?,FESEM Used?,TEM Used?,BET Before (m2/g),BET After (m2/g),BET Loss (%),Defect Type*,Stability Score (1-5)*,Stability,XRD - what it found,FTIR - what it found,XPS - what it found,Raman - what it found,FESEM - what it found,TEM - what it found,Main Findings / Degradation Mechanism
Xiong et al. (journal/year unconfirmed from snippet),Not confirmed from available search snippet - verify before citing,Th-SINAP-7,Other (Th-organic framework),Th,"1,4-naphthalenedicarboxylate",Beta + Gamma,Electron (beta) + Photon (gamma),Not specified in snippet,Not specified in snippet,2x10^5 Gy (200 kGy),Not specified in snippet,Not specified,High (framework described as radioresistant),No,Yes,Yes,Yes (SEM-EDS),No,,,NR,None reported,5,High - radioresistant to 2x10^5 Gy beta+gamma,PXRD used alongside FTIR/UV-vis/XPS/Raman/SEM-EDS to confirm structure retention; also chemically stable pH 1-12 and thermally stable to 520 C,Used to confirm framework and iodine-binding integrity,Used (rare in this literature set) to probe electronic/oxidation-state changes and confirm iodine uptake mechanism,Used alongside XPS/FTIR to characterise host-guest (iodine) interactions,SEM-EDS used to confirm morphology and elemental composition,Not used in this study,One of the few papers in this literature set to use XPS - directly comparable technique set to a Zn-BDC thesis; conjugated naphthalene linker gives high I2 affinity via pi-electron charge transfer. Citation details incomplete from available search snippet - confirm exact authors/journal/year before using in a formal reference list.
Xiong et al. (journal/year unconfirmed from snippet),Not confirmed from available search snippet - verify before citing,Th-SINAP-8,Other (Th-organic framework),Th,"2,6-naphthalenedicarboxylate",Beta + Gamma,Electron (beta) + Photon (gamma),Not specified in snippet,Not specified in snippet,2x10^5 Gy (200 kGy),Not specified in snippet,Not specified,High,No,Yes,Yes,Yes (SEM-EDS),No,,,NR,None reported,5,High - radioresistant to 2x10^5 Gy beta+gamma,Same multi-technique confirmation as Th-SINAP-7 (PXRD/FTIR/UV-vis/XPS/Raman/SEM-EDS),Used to confirm framework/iodine-binding integrity,Used to probe iodine uptake mechanism,Used alongside XPS/FTIR,SEM-EDS used to confirm morphology/composition,Not used in this study,"Th-SINAP-8 (2,6-isomer) removes >99% I2 from cyclohexane solution and achieves 473 mg/g iodine vapor uptake, the best-performing isomer of the pair; radiochemical stability underpins its viability for real iodine-capture service. Citation details incomplete - verify before formal use."
"Chen et al. 2022, Sep. Purif. Technol.",10.1016/j.seppur.2022.121517,MOF-303,Other (Al-pyrazoledicarboxylate),Al,"Pyrazole-3,5-dicarboxylate (literature MOF-303 linker; not independently confirmed in the fetched snippet)",Beta,Electron (beta),Not specified in snippet,Not specified in snippet,"Multiple doses tested, up to at least the paper's working range (exact ceiling not stated in snippet)",Not specified in snippet,Not specified,High,Not reported,No,No,No,No,,,NR,None reported,4,Good - crystallinity mostly intact across doses tested,"PXRD patterns at different beta-ray dosages align closely with the original (unirradiated) pattern; FWHM shows only slight fluctuation with dose, indicating crystallinity remains mostly intact",Not specified in snippet,Not used in this study,Not used in this study,Not specified in snippet,Not used in this study,Al-based ion-trap MOF retains structure under beta irradiation while achieving very high Th4+ uptake (461.7 mg/g) and strong Th/lanthanide separation selectivity - radiation resistance is a design enabler for its intended nuclear-waste application
ACS Appl. Mater. Interfaces 2023,10.1021/acsami.3c02582,IEF-11,"Other (Ti-MOF, oxygen-rich ion trap)",Ti,Not specified in available snippet,Beta,Electron (beta),Not specified in snippet,Not specified in snippet,Up to 1000 kGy,Not specified in snippet,Not specified,High (framework described as excellently beta-resistant),Not reported,Not specified in snippet,Not specified in snippet,Not specified in snippet,Not specified in snippet,,,NR,None reported at 1000 kGy,5,Excellent - stable even at 1000 kGy beta dose,Not directly quoted in snippet; excellent beta resistance attributed to Ti's high coordination number and compact framework structure,Not specified in snippet,Not used in this study,Not used in this study,Not specified in snippet,Not used in this study,"Among the highest reported beta-dose tolerances (1000 kGy) in this literature set; used as an oxygen-rich ion trap for Th(IV)/U(VI) capture with high separation coefficients (>200 for Th/lanthanides, >100 for U/lanthanides). Detailed characterization methodology not fully captured from the available search snippet - verify against full text."
ScienceDirect 2026 (SZ-7 thorium capture),Not confirmed from available search snippet - verify before citing,SZ-7,Other (Zr-phosphonate),Zr,Phosphonate (specific ligand not confirmed in snippet),Beta + Gamma,Electron (beta) + Photon (gamma),Not specified in snippet,Not specified in snippet,100 kGy and 200 kGy (dry and water-immersed conditions),Not specified in snippet,Both dry and water-immersed conditions tested,High,Not reported,Not specified in snippet,Not specified in snippet,Not specified in snippet,Not specified in snippet,,,NR,None reported at tested doses,4,High - structurally stable under both acidic and irradiated conditions,Not directly quoted in snippet; structural stability confirmed under both beta and gamma irradiation at 100/200 kGy in both dry and water-immersed states,Not specified in snippet,Not used in this study,Not used in this study,Not specified in snippet,Not used in this study,Notable for testing irradiation stability under water-immersed conditions (relevant to aqueous nuclear waste streams) in addition to dry conditions; also stable in both 0.1 M and 1 M HNO3. Full citation not confirmed from available snippet - verify authors/journal before formal use.
ACS Omega 2023,10.1021/acsomega.2c08274,CAU-1-NH2,Other (Al-aminoterephthalate),Al,2-aminoterephthalate (NH2-BDC),Gamma,Photon (gamma),60Co,-,Up to 2 MGy cumulative; stable to 1 MGy,Not specified in snippet,Not specified,High to 1 MGy,Not reported,Yes,No,Yes (+FESEM),Yes,550,,NR,Not fully specified beyond 1 MGy in snippet,4,"Good to 1 MGy, first-of-kind 2 MGy study for this material",Remarkable gamma stability confirmed up to 1 MGy (first cumulative-dose study of this material to 2 MGy),Used alongside XRD/TGA/SEM/TEM to characterise pre- and post-irradiation structure,Used (rare in this literature set) alongside positron annihilation lifetime spectroscopy (PALS) to probe electronic and free-volume changes with dose,Not used in this study,Used (plus FESEM) for morphology characterisation,Used for morphology/structure characterisation,"One of only two papers in this expanded set to use XPS (with Th-SINAP-7/8) - directly relevant technique overlap with a Zn-BDC XPS-based thesis; also unusual for combining XPS with positron annihilation lifetime spectroscopy, a technique not seen elsewhere in this dataset, to probe radiation-induced free-volume/defect changes; BET surface area of 550 m2/g reported for the as-synthesised material"
"Li et al. 2024, JACS",10.1021/jacs.4c02405,MFM-170,MFM,Cu,Unfunctionalized biphenyl tetracarboxylate-type linker (-H),Gamma,Photon (gamma),Not specified in snippet,Not specified in snippet,Not specified in snippet (paper states gamma-irradiation confirmed ultraresistance),Not specified in snippet,Not specified,High (explicitly confirmed ultraresistant),,Yes,Yes,Not specified in snippet,Not specified in snippet,,,NR,None detected,5,Ultraresistant to gamma irradiation (explicitly confirmed),"Gamma-irradiation explicitly confirmed as ultraresistant, alongside MFM-174 and NJU-Bai20",Not specified in snippet,Used (with solid-state NMR and Raman) to confirm I2 binding chemistry and post-irradiation integrity,Used alongside XPS/NMR,Not specified in snippet,Not specified in snippet,"Highest thermal stability (380 C) of the 5-MOF isostructural series and one of three (with MFM-174, NJU-Bai20) explicitly confirmed gamma-ultraresistant; reversible I2 uptake of 3.37 g/g; positions this Cu-MOF family as a strong candidate for radioactive iodine cleanup. Data sourced from abstract/search snippets - verify dose value against full JACS text before citing."
"Li et al. 2024, JACS",10.1021/jacs.4c02405,MFM-172,MFM,Cu,Methyl-functionalized biphenyl tetracarboxylate-type linker (-CH3),Gamma,Photon (gamma),Not specified in snippet,Not specified in snippet,Not specified in snippet,Not specified in snippet,Not specified,Not explicitly confirmed ultraresistant in the available snippet (only MFM-170/174/NJU-Bai20 named),,Yes,Yes,Not specified in snippet,Not specified in snippet,,,NR,Not specified in snippet,,Not explicitly stated for gamma in available snippet - verify,Thermal decomposition at 350 C reported; gamma-irradiation result not explicitly named for this specific analogue in the available snippet,Not specified in snippet,Used across the series (with NMR/Raman) to confirm I2 binding chemistry,Used alongside XPS/NMR,Not specified in snippet,Not specified in snippet,Part of the same functionalized Cu-MOF series as MFM-170/174 and NJU-Bai20/21; methyl (-CH3) functionalization used as a control point in the structure-property study. Whether it was specifically confirmed gamma-ultraresistant is unclear from the retrieved snippet - check the full JACS SI before using this row for a stability claim.
"Li et al. 2024, JACS",10.1021/jacs.4c02405,MFM-174,MFM,Cu,Amino-functionalized biphenyl tetracarboxylate-type linker (-NH2),Gamma,Photon (gamma),Not specified in snippet,Not specified in snippet,Not specified in snippet,Not specified in snippet,Not specified,High (explicitly confirmed ultraresistant),,Yes,Yes,Not specified in snippet,Not specified in snippet,,,NR,None detected,5,Ultraresistant to gamma irradiation (explicitly confirmed),"Gamma-irradiation explicitly confirmed as ultraresistant, alongside MFM-170 and NJU-Bai20",Not specified in snippet,Used (with NMR/Raman) - in situ crystallography shows I...N and I...H2N supramolecular interactions with the -NH2 group,Used alongside XPS/NMR,Not specified in snippet,Not specified in snippet,-NH2 functionalization enhances I2 binding to an exceptional 4.83 g/cm3 packing density (near solid iodine's 4.93 g/cm3) while remaining gamma-ultraresistant - best combination of capacity and radiation stability in the series. Verify dose value against full text before citing.
"Li et al. 2024, JACS",10.1021/jacs.4c02405,NJU-Bai20,MFM,Cu,Alkynyl-functionalized biphenyl tetracarboxylate-type linker (-C#C-),Gamma,Photon (gamma),Not specified in snippet,Not specified in snippet,Not specified in snippet,Not specified in snippet,Not specified,High (explicitly confirmed ultraresistant),,Yes,Yes,Not specified in snippet,Not specified in snippet,,,NR,None detected,5,Ultraresistant to gamma irradiation (explicitly confirmed),"Gamma-irradiation explicitly confirmed as ultraresistant, alongside MFM-170 and MFM-174",Not specified in snippet,Used (with NMR/Raman); in situ crystallography shows I...C#C and I-C=C-I interactions,Used alongside XPS/NMR,Not specified in snippet,Not specified in snippet,Alkynyl (-C#C-) functionalization enhances I2 uptake to 3.91 g/g while remaining gamma-ultraresistant. Verify dose value against full text before citing.
"Li et al. 2024, JACS",10.1021/jacs.4c02405,NJU-Bai21,MFM,Cu,Amide-functionalized biphenyl tetracarboxylate-type linker (-CONH-),Chemical (I2 exposure); gamma status not confirmed for this analogue in snippet,Not applicable / not specified,Not specified in snippet,Not specified in snippet,Not specified in snippet,Not specified in snippet,Not specified,Low (loses crystallinity),,Yes,Yes,Not specified in snippet,Not specified in snippet,,,NR,"Loss of crystallinity, described as intolerant to caustic I2",1,Poor - lowest thermal stability (290 C) of the series and intolerant to I2 exposure,Reported loss of crystallinity and adsorption capacity - authors state the -CONH- group is 'intolerant to caustic I2',Not specified in snippet,Used across the series to probe binding chemistry,Used alongside XPS/NMR,Not specified in snippet,Not specified in snippet,Weakest member of the 5-MOF series: lowest thermal decomposition temperature (290 C) and the only analogue reported to lose crystallinity/capacity on I2 exposure - illustrates that linker functionalization can just as easily HURT stability as help it. Note: this instability is reported for I2 chemical exposure; gamma-radiation-specific behaviour of this analogue was not confirmed in the retrieved snippet.
"Abdelhamid, Mahmoud & Mahfouz 2025, New J. Chem.",10.1039/D5NJ01595B,ZIF-8,ZIF,Zn,2-methylimidazolate,Gamma,Photon (gamma),Not specified in snippet (oxidative environment),-,Not specified in snippet (dose rate given),1.3 kGy/h,Oxidative environment,Low (phase-transforms),,No,No,Yes,No,,,NR,Phase transformation (3D ZIF-8 to 2D ZIF-L-like phase); point defects; visible colour change,1,Low - undergoes phase transformation under gamma,PXRD confirms phase transformation of the 3D ZIF-8 crystal structure toward a ZIF-L-type phase under gamma exposure,Used alongside XRD/SEM/diffuse reflectance to track chemical changes accompanying the phase transformation,,,Used to image morphology change accompanying the 3D-to-2D-like phase transformation,,"Gamma irradiation (1.3 kGy/h, oxidative conditions) drives a 3D-to-2D-like phase transformation with point-defect creation and a visible colour change, repurposed constructively by the authors to enhance photocatalytic hydrogen generation - another example (with the Chen et al. ZIF-7 paper) of irradiation used as a deliberate defect-engineering tool rather than purely a degradation hazard"
"Abdelhamid, Mahmoud & Mahfouz 2025, New J. Chem.",10.1039/D5NJ01595B,ZIF-L,ZIF,Zn,2-methylimidazolate (2D leaf-like polymorph),Gamma,Photon (gamma),Not specified in snippet (oxidative environment),-,Not specified in snippet (dose rate given),1.3 kGy/h,Oxidative environment,Partial (already a 2D polymorph; further point-defect formation under dose),,No,No,Yes,No,,,NR,Point defects; colour change,2,"More resistant than 3D ZIF-8 to gross phase change, but still accumulates point defects",PXRD shows the 2D ZIF-L phase persists but accumulates point defects under the same gamma dose rate as ZIF-8,Used alongside XRD/SEM to track defect accumulation,,,Used to image the 2D leaf-like crystal morphology before/after irradiation,,"Companion sample to ZIF-8 in the same study; being already a 2D polymorph, it does not undergo the same 3D-to-2D phase transformation but still shows gamma-induced point-defect creation and colour change, used constructively for enhanced photocatalytic hydrogen generation"
